#{"t_start": 1689883493.8249385, "env_id": "None"}
r,l,t
10374720.816902,5,5.924561
10374829.743501,5,5.924561
10374667.821121,5,5.932559
7774920.902107,5,5.94056
-125084.027639,5,5.94056
10374433.103905,5,5.950926
5174503.344875,5,5.950926
10374421.954745,5,5.950926
10374433.722929,5,5.966624
10374592.270004,5,5.966624
10374573.572077,5,5.978241
7775109.270599,5,5.978241
10374654.115132,5,5.993977
10374418.745691,5,5.998185
10374675.891405,5,6.006258
10374672.157142,5,6.014252
10374557.579038,5,6.014252
10374415.726639,5,6.027003
5174760.04189,5,6.030447
10374872.47338,5,6.030447
7774433.40876,5,6.038497
10374686.609625,5,6.046521
10374803.2947,5,6.051015
7774765.989608,5,6.051015
10374111.315706,5,6.051015
10374382.783833,5,6.066743
10374864.619379,5,6.066743
5174650.927904,5,6.078329
10374838.932816,5,6.078329
2574998.126923,5,6.094299
10374610.347316,5,6.094299
10374848.019436,5,6.106667
10374678.42064,5,6.114738
10374635.392752,5,6.114738
10374639.482407,5,6.122738
10375033.673011,5,6.130736
10374638.253994,5,6.138756
10375222.58367,5,6.138756
10374928.833666,5,6.146754
7774224.883943,5,6.154757
7674481.687229,5,6.154757
